Period [us],Frequency [Hz]
907,1102.535832
904,1106.19469
903,1107.419712
903,1107.419712
898,1113.585746
900,1111.111111
900,1111.111111
898,1113.585746
904,1106.19469
902,1108.64745
909,1100.110011
912,1096.491228
909,1100.110011
914,1094.091904
911,1097.694841
912,1096.491228
915,1092.896175
911,1097.694841
911,1097.694841
909,1100.110011
910,1098.901099
905,1104.972376
904,1106.19469
905,1104.972376
899,1112.347052
902,1108.64745
898,1113.585746
895,1117.318436
900,1111.111111
900,1111.111111
903,1107.419712
905,1104.972376
901,1109.877913
902,1108.64745
898,1113.585746
905,1104.972376
906,1103.752759
904,1106.19469
908,1101.321586
905,1104.972376
906,1103.752759
904,1106.19469
904,1106.19469
906,1103.752759
902,1108.64745
908,1101.321586
903,1107.419712
905,1104.972376
904,1106.19469
901,1109.877913
904,1106.19469
904,1106.19469
903,1107.419712
906,1103.752759
906,1103.752759
913,1095.290252
912,1096.491228
913,1095.290252
917,1090.512541
917,1090.512541
921,1085.77633
915,1092.896175
916,1091.703057
915,1092.896175
912,1096.491228
914,1094.091904
911,1097.694841
911,1097.694841
910,1098.901099
906,1103.752759
908,1101.321586
903,1107.419712
910,1098.901099
910,1098.901099
907,1102.535832
915,1092.896175
910,1098.901099
918,1089.324619
919,1088.139282
920,1086.956522
921,1085.77633
915,1092.896175
920,1086.956522
914,1094.091904
912,1096.491228
914,1094.091904
912,1096.491228
915,1092.896175
917,1090.512541
919,1088.139282
922,1084.598698
923,1083.423619
930,1075.268817
932,1072.961373
932,1072.961373
930,1075.268817
923,1083.423619
921,1085.77633
915,1092.896175
914,1094.091904
909,1100.110011
907,1102.535832
904,1106.19469
898,1113.585746
906,1103.752759
902,1108.64745
902,1108.64745
905,1104.972376
901,1109.877913
906,1103.752759
910,1098.901099
906,1103.752759
912,1096.491228
909,1100.110011
915,1092.896175
909,1100.110011
911,1097.694841
914,1094.091904
906,1103.752759
910,1098.901099
910,1098.901099
912,1096.491228
915,1092.896175
913,1095.290252
921,1085.77633
915,1092.896175
920,1086.956522
918,1089.324619
917,1090.512541
919,1088.139282
917,1090.512541
917,1090.512541
913,1095.290252
912,1096.491228
915,1092.896175
913,1095.290252
915,1092.896175
912,1096.491228
913,1095.290252
919,1088.139282
911,1097.694841
914,1094.091904
917,1090.512541
917,1090.512541
920,1086.956522
915,1092.896175
920,1086.956522
920,1086.956522
925,1081.081081
928,1077.586207
924,1082.251082
930,1075.268817
925,1081.081081
929,1076.426265
924,1082.251082
921,1085.77633
925,1081.081081
923,1083.423619
922,1084.598698
920,1086.956522
918,1089.324619
918,1089.324619
912,1096.491228
917,1090.512541
915,1092.896175
912,1096.491228
915,1092.896175
909,1100.110011
913,1095.290252
906,1103.752759
912,1096.491228
911,1097.694841
909,1100.110011
912,1096.491228
912,1096.491228
915,1092.896175
918,1089.324619
916,1091.703057
922,1084.598698
920,1086.956522
923,1083.423619
920,1086.956522
915,1092.896175
920,1086.956522
911,1097.694841
911,1097.694841
910,1098.901099
907,1102.535832
909,1100.110011
906,1103.752759
911,1097.694841
908,1101.321586
911,1097.694841
916,1091.703057
914,1094.091904
920,1086.956522
919,1088.139282
922,1084.598698
926,1079.913607
921,1085.77633
924,1082.251082
919,1088.139282
918,1089.324619
921,1085.77633
916,1091.703057
919,1088.139282
913,1095.290252
910,1098.901099
915,1092.896175
913,1095.290252
924,1082.251082
919,1088.139282
930,1075.268817
923,1083.423619
925,1081.081081
925,1081.081081
917,1090.512541
922,1084.598698
915,1092.896175
914,1094.091904
915,1092.896175
909,1100.110011
911,1097.694841
911,1097.694841
917,1090.512541
923,1083.423619
918,1089.324619
930,1075.268817
921,1085.77633
929,1076.426265
929,1076.426265
925,1081.081081
927,1078.748652
919,1088.139282
921,1085.77633
915,1092.896175
913,1095.290252
912,1096.491228
908,1101.321586
914,1094.091904
909,1100.110011
908,1101.321586
911,1097.694841
907,1102.535832
914,1094.091904
912,1096.491228
915,1092.896175
918,1089.324619
915,1092.896175
924,1082.251082
912,1096.491228
917,1090.512541
921,1085.77633
913,1095.290252
917,1090.512541
913,1095.290252
920,1086.956522
920,1086.956522
921,1085.77633
923,1083.423619
921,1085.77633
928,1077.586207
928,1077.586207
925,1081.081081
928,1077.586207
919,1088.139282
923,1083.423619
920,1086.956522
916,1091.703057
917,1090.512541
909,1100.110011
917,1090.512541
910,1098.901099
913,1095.290252
916,1091.703057
911,1097.694841
913,1095.290252
911,1097.694841
911,1097.694841
916,1091.703057
916,1091.703057
924,1082.251082
917,1090.512541
919,1088.139282
920,1086.956522
919,1088.139282
926,1079.913607
919,1088.139282
925,1081.081081
924,1082.251082
926,1079.913607
930,1075.268817
923,1083.423619
929,1076.426265
919,1088.139282
918,1089.324619
918,1089.324619
916,1091.703057
907,1102.535832
904,1106.19469
903,1107.419712
906,1103.752759
899,1112.347052
905,1104.972376
900,1111.111111
903,1107.419712
908,1101.321586
906,1103.752759
916,1091.703057
914,1094.091904
920,1086.956522
922,1084.598698
923,1083.423619
931,1074.113856
924,1082.251082
929,1076.426265
926,1079.913607
921,1085.77633
926,1079.913607
923,1083.423619
926,1079.913607
920,1086.956522
920,1086.956522
922,1084.598698
916,1091.703057
929,1076.426265
923,1083.423619
925,1081.081081
926,1079.913607
923,1083.423619
925,1081.081081
915,1092.896175
919,1088.139282
916,1091.703057
919,1088.139282
915,1092.896175
915,1092.896175
920,1086.956522
919,1088.139282
921,1085.77633
924,1082.251082
926,1079.913607
929,1076.426265
924,1082.251082
927,1078.748652
926,1079.913607
917,1090.512541
916,1091.703057
908,1101.321586
908,1101.321586
907,1102.535832
901,1109.877913
906,1103.752759
901,1109.877913
902,1108.64745
901,1109.877913
904,1106.19469
909,1100.110011
907,1102.535832
913,1095.290252
912,1096.491228
913,1095.290252
917,1090.512541
914,1094.091904
918,1089.324619
918,1089.324619
914,1094.091904
918,1089.324619
912,1096.491228
918,1089.324619
913,1095.290252
914,1094.091904
917,1090.512541
910,1098.901099
919,1088.139282
916,1091.703057
917,1090.512541
919,1088.139282
917,1090.512541
924,1082.251082
919,1088.139282
921,1085.77633
918,1089.324619
915,1092.896175
919,1088.139282
913,1095.290252
918,1089.324619
916,1091.703057
915,1092.896175
920,1086.956522
914,1094.091904
920,1086.956522
918,1089.324619
917,1090.512541
926,1079.913607
919,1088.139282
928,1077.586207
925,1081.081081
926,1079.913607
930,1075.268817
921,1085.77633
930,1075.268817
927,1078.748652
927,1078.748652
925,1081.081081
918,1089.324619
923,1083.423619
914,1094.091904
920,1086.956522
915,1092.896175
911,1097.694841
922,1084.598698
911,1097.694841
915,1092.896175
910,1098.901099
913,1095.290252
918,1089.324619
910,1098.901099
918,1089.324619
911,1097.694841
911,1097.694841
915,1092.896175
912,1096.491228
918,1089.324619
910,1098.901099
916,1091.703057
917,1090.512541
915,1092.896175
922,1084.598698
914,1094.091904
918,1089.324619
916,1091.703057
909,1100.110011
913,1095.290252
907,1102.535832
912,1096.491228
909,1100.110011
902,1108.64745
916,1091.703057
906,1103.752759
915,1092.896175
916,1091.703057
917,1090.512541
920,1086.956522
917,1090.512541
924,1082.251082
922,1084.598698
919,1088.139282
921,1085.77633
917,1090.512541
924,1082.251082
920,1086.956522
921,1085.77633
928,1077.586207
924,1082.251082
932,1072.961373
922,1084.598698
935,1069.518717
933,1071.811361
930,1075.268817
935,1069.518717
924,1082.251082
927,1078.748652
919,1088.139282
919,1088.139282
920,1086.956522
913,1095.290252
921,1085.77633
918,1089.324619
918,1089.324619
921,1085.77633
915,1092.896175
924,1082.251082
921,1085.77633
926,1079.913607
924,1082.251082
922,1084.598698
929,1076.426265
916,1091.703057
920,1086.956522
916,1091.703057
910,1098.901099
912,1096.491228
907,1102.535832
916,1091.703057
908,1101.321586
907,1102.535832
910,1098.901099
902,1108.64745
912,1096.491228
909,1100.110011
907,1102.535832
914,1094.091904
905,1104.972376
912,1096.491228
909,1100.110011
910,1098.901099
915,1092.896175
911,1097.694841
916,1091.703057
911,1097.694841
912,1096.491228
919,1088.139282
913,1095.290252
923,1083.423619
916,1091.703057
921,1085.77633
924,1082.251082
922,1084.598698
929,1076.426265
922,1084.598698
930,1075.268817
930,1075.268817
927,1078.748652
934,1070.663812
921,1085.77633
926,1079.913607
919,1088.139282
918,1089.324619
921,1085.77633
912,1096.491228
920,1086.956522
914,1094.091904
917,1090.512541
924,1082.251082
923,1083.423619
924,1082.251082
920,1086.956522
933,1071.811361
924,1082.251082
926,1079.913607
932,1072.961373
923,1083.423619
926,1079.913607
923,1083.423619
921,1085.77633
922,1084.598698
917,1090.512541
919,1088.139282
915,1092.896175
916,1091.703057
917,1090.512541
909,1100.110011
919,1088.139282
914,1094.091904
914,1094.091904
915,1092.896175
912,1096.491228
919,1088.139282
915,1092.896175
923,1083.423619
925,1081.081081
923,1083.423619
933,1071.811361
924,1082.251082
930,1075.268817
932,1072.961373
924,1082.251082
927,1078.748652
921,1085.77633
930,1075.268817
919,1088.139282
922,1084.598698
926,1079.913607
915,1092.896175
921,1085.77633
915,1092.896175
920,1086.956522
921,1085.77633
921,1085.77633
926,1079.913607
923,1083.423619
928,1077.586207
922,1084.598698
915,1092.896175
923,1083.423619
920,1086.956522
924,1082.251082
924,1082.251082
927,1078.748652
927,1078.748652
920,1086.956522
929,1076.426265
923,1083.423619
927,1078.748652
928,1077.586207
924,1082.251082
930,1075.268817
916,1091.703057
921,1085.77633
913,1095.290252
916,1091.703057
926,1079.913607
904,1106.19469
921,1085.77633
918,1089.324619
915,1092.896175
919,1088.139282
909,1100.110011
920,1086.956522
917,1090.512541
922,1084.598698
927,1078.748652
923,1083.423619
931,1074.113856
924,1082.251082
925,1081.081081
923,1083.423619
922,1084.598698
928,1077.586207
917,1090.512541
920,1086.956522
917,1090.512541
915,1092.896175
918,1089.324619
911,1097.694841
917,1090.512541
917,1090.512541
917,1090.512541
919,1088.139282
909,1100.110011
919,1088.139282
913,1095.290252
917,1090.512541
920,1086.956522
911,1097.694841
924,1082.251082
917,1090.512541
920,1086.956522
921,1085.77633
915,1092.896175
928,1077.586207
922,1084.598698
926,1079.913607
924,1082.251082
925,1081.081081
927,1078.748652
923,1083.423619
922,1084.598698
922,1084.598698
922,1084.598698
927,1078.748652
917,1090.512541
925,1081.081081
919,1088.139282
921,1085.77633
921,1085.77633
916,1091.703057
926,1079.913607
918,1089.324619
924,1082.251082
925,1081.081081
923,1083.423619
934,1070.663812
925,1081.081081
935,1069.518717
924,1082.251082
925,1081.081081
928,1077.586207
921,1085.77633
923,1083.423619
918,1089.324619
916,1091.703057
921,1085.77633
916,1091.703057
921,1085.77633
915,1092.896175
918,1089.324619
921,1085.77633
916,1091.703057
921,1085.77633
915,1092.896175
921,1085.77633
921,1085.77633
923,1083.423619
925,1081.081081
915,1092.896175
921,1085.77633
918,1089.324619
917,1090.512541
925,1081.081081
914,1094.091904
926,1079.913607
920,1086.956522
922,1084.598698
923,1083.423619
916,1091.703057
926,1079.913607
914,1094.091904
917,1090.512541
920,1086.956522
913,1095.290252
923,1083.423619
915,1092.896175
919,1088.139282
918,1089.324619
915,1092.896175
922,1084.598698
910,1098.901099
920,1086.956522
916,1091.703057
917,1090.512541
923,1083.423619
916,1091.703057
926,1079.913607
924,1082.251082
926,1079.913607
929,1076.426265
921,1085.77633
930,1075.268817
919,1088.139282
927,1078.748652
922,1084.598698
919,1088.139282
922,1084.598698
916,1091.703057
924,1082.251082
919,1088.139282
919,1088.139282
925,1081.081081
918,1089.324619
929,1076.426265
925,1081.081081
925,1081.081081
930,1075.268817
922,1084.598698
932,1072.961373
930,1075.268817
936,1068.376068
931,1074.113856
924,1082.251082
931,1074.113856
921,1085.77633
925,1081.081081
923,1083.423619
921,1085.77633
926,1079.913607
915,1092.896175
924,1082.251082
922,1084.598698
921,1085.77633
927,1078.748652
919,1088.139282
927,1078.748652
923,1083.423619
924,1082.251082
923,1083.423619
913,1095.290252
922,1084.598698
911,1097.694841
915,1092.896175
913,1095.290252
910,1098.901099
918,1089.324619
907,1102.535832
912,1096.491228
909,1100.110011
907,1102.535832
916,1091.703057
908,1101.321586
920,1086.956522
921,1085.77633
917,1090.512541
925,1081.081081
914,1094.091904
925,1081.081081
919,1088.139282
923,1083.423619
927,1078.748652
919,1088.139282
930,1075.268817
918,1089.324619
920,1086.956522
924,1082.251082
919,1088.139282
930,1075.268817
923,1083.423619
929,1076.426265
926,1079.913607
926,1079.913607
931,1074.113856
924,1082.251082
929,1076.426265
925,1081.081081
919,1088.139282
924,1082.251082
917,1090.512541
928,1077.586207
917,1090.512541
921,1085.77633
922,1084.598698
917,1090.512541
935,1069.518717
926,1079.913607
931,1074.113856
933,1071.811361
930,1075.268817
938,1066.098081
929,1076.426265
937,1067.235859
933,1071.811361
936,1068.376068
939,1064.962726
932,1072.961373
940,1063.829787
928,1077.586207
933,1071.811361
928,1077.586207
923,1083.423619
936,1068.376068
925,1081.081081
931,1074.113856
926,1079.913607
922,1084.598698
926,1079.913607
915,1092.896175
928,1077.586207
923,1083.423619
933,1071.811361
937,1067.235859
931,1074.113856
941,1062.699256
936,1068.376068
940,1063.829787
937,1067.235859
925,1081.081081
931,1074.113856
919,1088.139282
926,1079.913607
920,1086.956522
924,1082.251082
932,1072.961373
920,1086.956522
932,1072.961373
929,1076.426265
931,1074.113856
936,1068.376068
929,1076.426265
938,1066.098081
924,1082.251082
932,1072.961373
929,1076.426265
928,1077.586207
933,1071.811361
926,1079.913607
933,1071.811361
924,1082.251082
929,1076.426265
929,1076.426265
919,1088.139282
930,1075.268817
922,1084.598698
926,1079.913607
924,1082.251082
918,1089.324619
926,1079.913607
915,1092.896175
924,1082.251082
914,1094.091904
916,1091.703057
929,1076.426265
919,1088.139282
925,1081.081081
919,1088.139282
918,1089.324619
922,1084.598698
914,1094.091904
918,1089.324619
911,1097.694841
913,1095.290252
915,1092.896175
907,1102.535832
912,1096.491228
903,1107.419712
908,1101.321586
913,1095.290252
908,1101.321586
922,1084.598698
910,1098.901099
921,1085.77633
916,1091.703057
914,1094.091904
925,1081.081081
916,1091.703057
925,1081.081081
921,1085.77633
917,1090.512541
926,1079.913607
921,1085.77633
921,1085.77633
925,1081.081081
924,1082.251082
933,1071.811361
924,1082.251082
933,1071.811361
922,1084.598698
930,1075.268817
928,1077.586207
918,1089.324619
928,1077.586207
917,1090.512541
928,1077.586207
923,1083.423619
923,1083.423619
929,1076.426265
923,1083.423619
932,1072.961373
929,1076.426265
933,1071.811361
937,1067.235859
926,1079.913607
935,1069.518717
923,1083.423619
926,1079.913607
925,1081.081081
917,1090.512541
927,1078.748652
912,1096.491228
926,1079.913607
919,1088.139282
914,1094.091904
925,1081.081081
917,1090.512541
929,1076.426265
928,1077.586207
930,1075.268817
939,1064.962726
929,1076.426265
936,1068.376068
927,1078.748652
927,1078.748652
933,1071.811361
931,1074.113856
941,1062.699256
934,1070.663812
942,1061.571125
934,1070.663812
930,1075.268817
935,1069.518717
915,1092.896175
927,1078.748652
917,1090.512541
915,1092.896175
914,1094.091904
908,1101.321586
916,1091.703057
907,1102.535832
910,1098.901099
913,1095.290252
909,1100.110011
919,1088.139282
911,1097.694841
920,1086.956522
922,1084.598698
919,1088.139282
929,1076.426265
918,1089.324619
929,1076.426265
922,1084.598698
918,1089.324619
924,1082.251082
913,1095.290252
919,1088.139282
913,1095.290252
915,1092.896175
919,1088.139282
914,1094.091904
924,1082.251082
914,1094.091904
919,1088.139282
918,1089.324619
915,1092.896175
925,1081.081081
912,1096.491228
917,1090.512541
920,1086.956522
916,1091.703057
924,1082.251082
918,1089.324619
930,1075.268817
925,1081.081081
927,1078.748652
933,1071.811361
922,1084.598698
936,1068.376068
929,1076.426265
928,1077.586207
930,1075.268817
922,1084.598698
930,1075.268817
919,1088.139282
920,1086.956522
919,1088.139282
912,1096.491228
920,1086.956522
909,1100.110011
917,1090.512541
917,1090.512541
913,1095.290252
925,1081.081081
913,1095.290252
923,1083.423619
918,1089.324619
919,1088.139282
927,1078.748652
919,1088.139282
931,1074.113856
922,1084.598698
928,1077.586207
930,1075.268817
922,1084.598698
935,1069.518717
922,1084.598698
926,1079.913607
922,1084.598698
917,1090.512541
925,1081.081081
914,1094.091904
921,1085.77633
915,1092.896175
910,1098.901099
921,1085.77633
907,1102.535832
923,1083.423619
918,1089.324619
919,1088.139282
929,1076.426265
923,1083.423619
939,1064.962726
928,1077.586207
932,1072.961373
933,1071.811361
927,1078.748652
936,1068.376068
921,1085.77633
926,1079.913607
924,1082.251082
918,1089.324619
927,1078.748652
916,1091.703057
929,1076.426265
920,1086.956522
924,1082.251082
927,1078.748652
920,1086.956522
931,1074.113856
921,1085.77633
926,1079.913607
926,1079.913607
918,1089.324619
926,1079.913607
914,1094.091904
929,1076.426265
923,1083.423619
923,1083.423619
934,1070.663812
923,1083.423619
938,1066.098081
932,1072.961373
931,1074.113856
934,1070.663812
923,1083.423619
932,1072.961373
915,1092.896175
926,1079.913607
921,1085.77633
917,1090.512541
929,1076.426265
918,1089.324619
930,1075.268817
931,1074.113856
929,1076.426265
937,1067.235859
925,1081.081081
929,1076.426265
921,1085.77633
919,1088.139282
922,1084.598698
911,1097.694841
921,1085.77633
912,1096.491228
916,1091.703057
918,1089.324619
912,1096.491228
921,1085.77633
908,1101.321586
918,1089.324619
918,1089.324619
914,1094.091904
923,1083.423619
910,1098.901099
918,1089.324619
914,1094.091904
909,1100.110011
919,1088.139282
906,1103.752759
917,1090.512541
912,1096.491228
909,1100.110011
919,1088.139282
910,1098.901099
925,1081.081081
920,1086.956522
921,1085.77633
931,1074.113856
921,1085.77633
935,1069.518717
918,1089.324619
925,1081.081081
924,1082.251082
916,1091.703057
928,1077.586207
915,1092.896175
928,1077.586207
926,1079.913607
920,1086.956522
931,1074.113856
922,1084.598698
935,1069.518717
935,1069.518717
935,1069.518717
941,1062.699256
928,1077.586207
936,1068.376068
919,1088.139282
923,1083.423619
923,1083.423619
917,1090.512541
929,1076.426265
917,1090.512541
926,1079.913607
920,1086.956522
919,1088.139282
927,1078.748652
914,1094.091904
925,1081.081081
917,1090.512541
915,1092.896175
920,1086.956522
906,1103.752759
914,1094.091904
907,1102.535832
908,1101.321586
917,1090.512541
907,1102.535832
926,1079.913607
917,1090.512541
923,1083.423619
927,1078.748652
922,1084.598698
933,1071.811361
924,1082.251082
929,1076.426265
923,1083.423619
915,1092.896175
917,1090.512541
904,1106.19469
917,1090.512541
914,1094.091904
912,1096.491228
919,1088.139282
913,1095.290252
924,1082.251082
923,1083.423619
927,1078.748652
938,1066.098081
927,1078.748652
942,1061.571125
926,1079.913607
932,1072.961373
926,1079.913607
920,1086.956522
927,1078.748652
919,1088.139282
934,1070.663812
929,1076.426265
927,1078.748652
939,1064.962726
927,1078.748652
938,1066.098081
926,1079.913607
925,1081.081081
927,1078.748652
912,1096.491228
924,1082.251082
910,1098.901099
920,1086.956522
919,1088.139282
913,1095.290252
927,1078.748652
917,1090.512541
935,1069.518717
930,1075.268817
935,1069.518717
951,1051.524711
930,1075.268817
941,1062.699256
925,1081.081081
926,1079.913607
925,1081.081081
914,1094.091904
928,1077.586207
915,1092.896175
921,1085.77633
921,1085.77633
914,1094.091904
930,1075.268817
919,1088.139282
931,1074.113856
925,1081.081081
923,1083.423619
930,1075.268817
917,1090.512541
931,1074.113856
916,1091.703057
923,1083.423619
